subject,relation,object,evidence,doc_id,chunk_id
OpenAI,LOCATED_IN,San Francisco,OpenAI is located in San Francisco.,1,doc1_chunk006
OpenAI,SUBSIDIARY_OF,Microsoft,OpenAI has partnerships and investments from Microsoft.,1,doc1_chunk006
OpenAI,DEVELOPED,ChatGPT,OpenAI developed ChatGPT.,1,doc1_chunk006
OpenAI,PARTNERED_WITH,Various third-party platforms,OpenAI's subscription and enterprise offerings are structured around API integration into third-party platforms.,1,doc1_chunk006
OpenAI,OWNED_BY,Private investors,OpenAI is the most valuable privately owned company in the world.,1,doc1_chunk006
OpenAI,FINANCIAL_LOSS,8 billion in 2025,It projects an $8 billion operating loss in 2025.,1,doc1_chunk006
OpenAI,ACQUIRED,Global Illumination,"In August 2023, it was announced that OpenAI had acquired the New York -based start-up Global Illumination.",1,doc1_chunk007
OpenAI,ACQUIRED,Multi,"In June 2024, OpenAI acquired Multi, a startup focused on remote collaboration.",1,doc1_chunk007
OpenAI,ACQUIRED,CoreWeave,"In March 2025, OpenAI reached a deal with CoreWeave to acquire $350 million worth of CoreWeave shares.",1,doc1_chunk007
OpenAI,ACQUIRED,io,"On May 21, 2025 OpenAI announced the $6.5 billion acquisition of io.",1,doc1_chunk007
OpenAI,ACQUIRED,Statsig,"In September 2025, OpenAI agreed to acquire the product testing startup Statsig for $1.1 billion.",1,doc1_chunk007
OpenAI,ACQUIRED,Roi,OpenAI acquired personal finance app Roi in October 2025.,1,doc1_chunk007
OpenAI,ACQUIRED,Software Applications Incorporated,"In October 2025, OpenAI acquired Software Applications Incorporated.",1,doc1_chunk007
OpenAI,ACQUIRED,Neptune,"In December 2025, it was announced OpenAI had agreed to acquire Neptune.",1,doc1_chunk007
OpenAI,ACQUIRED,Torch,"In January 2026, it was announced OpenAI had acquired healthcare technology startup Torch.",1,doc1_chunk007
OpenAI,ACQUIRED,Astral,OpenAI acquired Python tool developer Astral in March.,1,doc1_chunk007
OpenAI,PROJECTED_REVENUE,2.5 billion,"In April 2026, reports indicated that OpenAI projected approximately $2.5 billion in advertising revenue for the year.",1,doc1_chunk007
Qualcomm,FOUNDED_BY,Irwin Jacobs,Founded in 1985 by Irwin Jacobs and six other co-founders,2,doc2_chunk000
Qualcomm,HEADQUARTERED_IN,"San Diego, California","headquartered in San Diego, California",2,doc2_chunk000
Qualcomm,FOUNDED_IN,1985,Founded in 1985,2,doc2_chunk000
Qualcomm,DEVELOPED,CDMA,Qualcomm's early research into code-division multiple access (CDMA) wireless technology,2,doc2_chunk000
Qualcomm,ACQUIRED,Omninet,Qualcomm merged with Omninet in 1988,2,doc2_chunk000
Qualcomm,OWNED_BY,Omnitracs,produced the Omnitracs satellite communications system,2,doc2_chunk000
Qualcomm,INVESTED_IN,CDMA research,Qualcomm was operating at a loss in the 1990s due to its investment in CDMA research,2,doc2_chunk000
Qualcomm,LOCATED_IN,North America,CDMA was later adopted as a 2G standard in North America,2,doc2_chunk000
Qualcomm,DEVELOPED,Snapdragon,Its Snapdragon line of processors is widely used in smartphones,2,doc2_chunk000
Qualcomm,PARTNERED_WITH,multiple manufacturers,widely used in smartphones and other smart devices by multiple manufacturers,2,doc2_chunk000
Qualcomm,INVESTED_IN,embedded artificial intelligence,Qualcomm has been expanding into areas including embedded artificial intelligence,2,doc2_chunk000
Qualcomm,CEO_OF,Irwin Jacobs,led by Irwin Jacobs,2,doc2_chunk000
Qualcomm,FOUNDED,1986,Qualcomm grew from eight employees in 1986.,2,doc2_chunk001
Qualcomm,HEADQUARTERED_IN,United States,65 percent of Qualcomm's revenues originated from outside the United States.,2,doc2_chunk001
Qualcomm,ACQUIRED,Flarion Technologies,"In 2005, they acquired Flarion Technologies.",2,doc2_chunk001
Qualcomm,CEO_OF,Paul E. Jacobs,"In 2005, Paul E. Jacobs was appointed as Qualcomm's new CEO.",2,doc2_chunk001
Qualcomm,CEO_OF,Steven Mollenkopf,Qualcomm announced Steven Mollenkopf would succeed Paul Jacobs as CEO in December 2013.,2,doc2_chunk001
Qualcomm,INVESTED_IN,CDMA technologies,Qualcomm's research and development into code-division multiple access (CDMA) technologies.,2,doc2_chunk001
Qualcomm,LOCATED_IN,Europe,"Qualcomm established offices in Europe, Asia Pacific, and in the Americas.",2,doc2_chunk001
Qualcomm,LOCATED_IN,Asia Pacific,"Qualcomm established offices in Europe, Asia Pacific, and in the Americas.",2,doc2_chunk001
Qualcomm,LOCATED_IN,Americas,"Qualcomm established offices in Europe, Asia Pacific, and in the Americas.",2,doc2_chunk001
Qualcomm,ACQUIRED,NXP Semiconductors,Qualcomm announced its intent to acquire NXP Semiconductors for $47 billion in October 2016.,2,doc2_chunk001
Qualcomm,PARTNERED_WITH,Schneider National,50 percent of Qualcomm's revenue was from an Omnitracs contract with Schneider National.,2,doc2_chunk001
Qualcomm,CEO_OF,Cristiano Amon,"In January 2021, Qualcomm appointed its president and chip division head Cristiano Amon as its new chief executive.",2,doc2_chunk002
Qualcomm,ACQUIRED,Nuvia,"In January 2021, Qualcomm announced it would acquire Nuvia, a server CPU startup founded in early 2019.",2,doc2_chunk002
Qualcomm,ACQUIRED,Arriver,"In March 2022, Qualcomm acquired the advanced driver-assistance systems and autonomous driving software brand Arriver.",2,doc2_chunk002
Qualcomm,ACQUIRED,Cellwize,"In June 2022, Qualcomm acquired Israeli startup Cellwize through its investment arm Qualcomm Ventures.",2,doc2_chunk002
Qualcomm,PARTNERED_WITH,Salesforce,"In January 2023, the company announced a new partnership with Salesforce to develop a connected vehicle platform.",2,doc2_chunk002
Qualcomm,INTENDED_TO_ACQUIRE,Autotalks,"In May 2023, Qualcomm announced its intent to purchase Israeli fabless chipmaking company Autotalks for a reported $350–400 million.",2,doc2_chunk002
Qualcomm,BLOCKED_BY,U.S. President Donald Trump,The potential Broadcom acquisition was investigated by the U.S. Committee on Foreign Investment and blocked by an executive order from U.S. President Donald Trump.,2,doc2_chunk002
Nuvia,FOUNDED_BY,ex-Apple and ex-Google architects,"Nuvia, a server CPU startup founded in early 2019 by ex-Apple and ex-Google architects.",2,doc2_chunk002
Qualcomm,LOCATED_IN,United States,Qualcomm is a major technology company based in the United States.,2,doc2_chunk002
Qualcomm,INVESTED_IN,Qualcomm Ventures,Qualcomm acquired Israeli startup Cellwize through its investment arm Qualcomm Ventures.,2,doc2_chunk002
Qualcomm,ACQUIRED,Autotalks,"In May 2023, Qualcomm announced its intent to purchase Israeli fabless chipmaking company Autotalks for a reported $350–400 million.",2,doc2_chunk003
Qualcomm,ACQUIRED,Movian AI,"In April 2025, Qualcomm acquired Movian AI, the generative artificial intelligence unit of Vietnamese research company VinAI.",2,doc2_chunk003
Qualcomm,ACQUIRED,Alphawave IP Group,"Qualcomm agreed to acquire British semiconductor maker of high-speed wired connectivity, Alphawave IP Group, for $2.4 billion in June 2025.",2,doc2_chunk003
Qualcomm,ACQUIRED,Arduino,"Qualcomm acquired Arduino in October 2025, an Italian company specialising in single-board microcontrollers and microcontroller kits.",2,doc2_chunk003
Qualcomm,ACQUIRED,Ventana Micro Systems,"In December 2025, it was announced that Qualcomm had acquired Ventana Micro Systems, a company specialising in CPU designs.",2,doc2_chunk003
Qualcomm,HEADQUARTERED_IN,San Diego,Qualcomm is headquartered in San Diego.,2,doc2_chunk003
Qualcomm,DEVELOPED,Snapdragon X series,"In October 2023, Qualcomm introduced the Snapdragon X series, a computing platform for Windows PCs.",2,doc2_chunk003
Qualcomm,OWNED_BY,"Qualcomm Technologies, Inc","Qualcomm acquired Autotalks through its subsidiary, Qualcomm Technologies, Inc.",2,doc2_chunk003
Qualcomm,LOCATED_IN,Israel,Autotalks is an Israeli fabless semiconductor company.,2,doc2_chunk003
Qualcomm,DEVELOPED,Oryon processors,complement its existing development of custom Oryon processors.,2,doc2_chunk004
Qualcomm,LAUNCHED,new chip for android devices,Qualcomm launched a new chip for new devices in android devices.,2,doc2_chunk004
Qualcomm,HIRED_BY,Hughes Aircraft,Qualcomm was hired by Hughes Aircraft to provide research and testing for a satellite network proposal.,2,doc2_chunk004
Qualcomm,FILED,CDMA patent,"Qualcomm filed its first CDMA patent (No. 4,901,307).",2,doc2_chunk004
Qualcomm,SUBMITTED_TO,Cellular Telephone Industries Association,submitted them to the Cellular Telephone Industries Association (CTIA) in 1989.,2,doc2_chunk004
CTIA,REJECTED,Qualcomm's CDMA standard,CTIA officially rejected Qualcomm's CDMA standard in favor of the more established TDMA standard developed by Ericsson.,2,doc2_chunk004
Qualcomm,CONDUCTED,CDMA test demonstrations,Qualcomm conducted CDMA test demonstrations in 1989 in San Diego and in 1990 in New York.,2,doc2_chunk004
Qualcomm,PITCHED,CDMA technology,Qualcomm began pitching its CDMA technology directly to carriers.,2,doc2_chunk004
Qualcomm,REJECTED_BY,CTIA,CTIA officially rejected Qualcomm's CDMA standard.,2,doc2_chunk004
Qualcomm,FILED,three additional patents,Qualcomm filed three additional patents in 1989.,2,doc2_chunk004
Qualcomm,DEVELOPED,CDMA technology,Qualcomm began pitching its CDMA technology directly to carriers.,2,doc2_chunk005
Nynex Mobile Communications,IMPLEMENTED,CDMA networks,"In 1990, Nynex Mobile Communications and Ameritech Mobile Communications were the first carriers to implement CDMA networks instead of TDMA.",2,doc2_chunk005
Motorola,CONDUCTED,CDMA test implementations,"Motorola, a prior TDMA advocate, conducted CDMA test implementations in Hong Kong and Los Angeles.",2,doc2_chunk005
CTIA,SUPPORTED,CDMA,"CTIA changed its position and supported CDMA in 1993, adopting Qualcomm's CDMA as the IS-95A standard.",2,doc2_chunk005
Qualcomm,PARTNERED_WITH,Electronics and Telecommunications Research Institute,"In 1991, Qualcomm and the Electronics and Telecommunications Research Institute (ETRI) agreed to jointly develop CDMA technologies.",2,doc2_chunk005
Qualcomm,ENTERED,Russian market,Qualcomm entered the Russian and Latin American markets in 2005.,2,doc2_chunk005
Qualcomm,FORMED,licensing agreements,"Qualcomm also formed licensing agreements with Nokia in Europe, Nortel in Canada, and with Matsushita and Mitsubishi in Japan.",2,doc2_chunk005
Qualcomm,ENTERED,Chinese market,Qualcomm entered the Chinese market through a partnership with China Unicom in 2000.,2,doc2_chunk005
China Unicom,LAUNCHED,first CDMA-based network in China,which launched the first CDMA-based network in China in 2003.,2,doc2_chunk005
Qualcomm,GENERATED,more than fifty percent of its revenues,"China became a major market for Qualcomm's semiconductor products, representing more than fifty percent of its revenues.",2,doc2_chunk005
Qualcomm,PARTNERED_WITH,China Unicom,Qualcomm entered the Chinese market through a partnership with China Unicom in 2000,2,doc2_chunk006
Qualcomm,DEVELOPED,CDMA-based network,which launched the first CDMA-based network in China in 2003,2,doc2_chunk006
Qualcomm,LOCATED_IN,China,China became a major market for Qualcomm's semiconductor products,2,doc2_chunk006
Qualcomm,ACQUIRED,Kyocera Corporation,Qualcomm sold its manufacturing interests to Kyocera Corporation in December 1999,2,doc2_chunk006
Qualcomm,ACQUIRED,Ericsson,Qualcomm's infrastructure division was sold to competitor Ericsson in 1999,2,doc2_chunk006
Qualcomm,PARTNERED_WITH,Northern Telecom,Qualcomm partnered with Northern Telecom and formed a joint partnership with Sony,2,doc2_chunk006
Qualcomm,INVESTED_IN,3G technology,Qualcomm invested heavily in the development of 3G technology,2,doc2_chunk006
Qualcomm,OWNED_BY,Public shareholders,Qualcomm is publicly traded and owned by its shareholders,2,doc2_chunk006
Qualcomm,SUBSIDIARY_OF,None,Qualcomm operates independently and is not a subsidiary of another company,2,doc2_chunk006
Qualcomm,FOUNDED_BY,N/A,Qualcomm was founded in 1985.,2,doc2_chunk007
Qualcomm,DEVELOPED,CDMA-2000,"The Telecommunications Industry Association (TIA) and the Third Generation Partnership Program 2 (3GPP2), advocated for a competing CDMA-2000 standard developed primarily by Qualcomm.",2,doc2_chunk007
Qualcomm,DEVELOPED,WCDMA,Qualcomm agreed to license its CDMA patents for variants such as WCDMA.,2,doc2_chunk007
Qualcomm,ACQUIRED,LTE-related patents,Qualcomm purchased LTE-related patents through acquisitions.,2,doc2_chunk007
Qualcomm,OWNED_BY,Leap Wireless,"Qualcomm consolidated its interests in telecommunications carriers into a holding company, Leap Wireless.",2,doc2_chunk007
Leap Wireless,ACQUIRED,AT&T,Leap was spun-off later that year and sold to AT&T in 2014.,2,doc2_chunk007
Qualcomm,DEVELOPED,Scorpion CPU,Qualcomm announced it was developing the Scorpion central processing unit (CPU) for mobile devices in November 2005.,2,doc2_chunk007
Qualcomm,DEVELOPED,Gobi modems,The Gobi family of modems for portable devices was released in 2008.,2,doc2_chunk007
Qualcomm,LOCATED_IN,San Diego,"Qualcomm is headquartered in San Diego, California.",2,doc2_chunk007
Qualcomm,INVESTED_IN,4G LTE standards,"By 2012, Qualcomm held 81 seminal patents used in 4G LTE standards.",2,doc2_chunk007
Qualcomm,HALTED,UMB development,Qualcomm halted development of UMB in 2005.,2,doc2_chunk007
Vingroup JSC,FOUNDED_BY,Phạm Nhật Vượng,Vingroup JSC is a private conglomerate owned by entrepreneur Phạm Nhật Vượng as the largest shareholder,3,doc3_chunk000
Vingroup JSC,HEADQUARTERED_IN,Hanoi,"headquartered in Hanoi, Vietnam",3,doc3_chunk000
Vingroup JSC,FOUNDED,1993,Conglomerate founded in 1993 Vingroup JSC,3,doc3_chunk000
Vingroup JSC,ACQUIRED,Mivina brand,it sold its Technocom facility in Ukraine and the Mivina brand to Nestlé,3,doc3_chunk000
Vingroup,ACQUIRED,OceanMart,Vingroup bought the supermarket chain OceanMart from Ocean Group,3,doc3_chunk000
Vingroup,OWNED_BY,Vinpearl Safari,the program had started with research and conservation of some rare animal species and their natural habitats by Vinpearl Safari,3,doc3_chunk000
Vingroup,SUBSIDIARY_OF,VinFast,Vingroup started construction of a car factory for the VinFast subsidiary,3,doc3_chunk000
Vingroup,INVESTED_IN,3.5 billion,$3.5 billion was invested in the development of this project,3,doc3_chunk000
Vingroup,DEVELOPED,VinSmart phones,Vingroup entered the smartphone market with the launch of VinSmart phones,3,doc3_chunk000
Vingroup,ACQUIRED,MonPay,Vingroup acquired the e-wallet platform MonPay,3,doc3_chunk000
SK Group,INVESTED_IN,Vingroup,South Korean conglomerate SK Group bought a 6.1% stake in Vingroup for $1 billion,3,doc3_chunk000
Vingroup,CEASED_PRODUCTION_OF,smartphones and televisions,Vingroup announced that it would cease the production of smartphones and televisions,3,doc3_chunk000
Vingroup,DEVELOPED,Vinhomes,Vingroup develops real estate across 3 main segments: high-end residential projects under the Vinhomes brand.,3,doc3_chunk001
Vinhomes,OWNED_BY,Vingroup,"Vinhomes is a subsidiary of residential real estate, villas, and other services.",3,doc3_chunk001
Vinpearl,OWNED_BY,Vingroup,Vinpearl Resorts is a resort and hotel chain of Vingroup.,3,doc3_chunk001
Vingroup,HEADQUARTERED_IN,Vietnam,Vingroup operates resorts and tourism complexes across Vietnam.,3,doc3_chunk001
Vingroup,CEO_OF,Phạm Nhật Vượng,Vingroup was originally established as a merger of Vincom and VinPearl – businesses under Phạm Nhật Vượng ownership.,3,doc3_chunk001
Vincom Retail,SUBSIDIARY_OF,Vingroup,Vincom Retail is a commercial real estate and office subsidiary.,3,doc3_chunk001
Vingroup,LOCATED_IN,Nha Trang,"Vinpearl operates resorts and tourism complexes across Vietnam, including Vinpearl Nha Trang.",3,doc3_chunk001
Vingroup,MARKET_CAPITALIZATION,6 billion,"In January 2025, Vingroup's market capitalization had declined by nearly half to approximately $6 billion.",3,doc3_chunk001
Vinpearl,LOCATED_IN,Vietnam,Vinpearl operates resorts and tourism complexes across Vietnam,3,doc3_chunk002
VinMec,SUBSIDIARY_OF,Vingroup,VinMec is a healthcare service subsidiary,3,doc3_chunk002
VinFast,OWNED_BY,Vingroup,VinFast was launched in 2017 to manufacture cars and motorcycles powered by internal combustion and electric engines,3,doc3_chunk002
VinFast,FOUNDED_BY,Vingroup,VinFast was launched in 2017,3,doc3_chunk002
Vinschool,OWNED_BY,Vingroup,Vinschool is the largest Vietnamese private school system in Vietnam,3,doc3_chunk002
VinUniversity,FOUNDED_BY,Vingroup,Vingroup established VinUniversity (VinUni),3,doc3_chunk002
VinUniversity,PARTNERED_WITH,Cornell University,It has signed strategic cooperation agreements with 2 Ivy League institutions - Cornell University and the University of Pennsylvania (UPenn),3,doc3_chunk002
VinUniversity,PARTNERED_WITH,University of Pennsylvania,It has signed strategic cooperation agreements with 2 Ivy League institutions - Cornell University and the University of Pennsylvania (UPenn),3,doc3_chunk002
VinFast,LOCATED_IN,United States,"Since 2021, VinFast has established offices and operations in the United States",3,doc3_chunk002
VinFast,LOCATED_IN,Canada,"Since 2021, VinFast has established offices and operations in Canada",3,doc3_chunk002
VinFast,LOCATED_IN,France,"Since 2021, VinFast has established offices and operations in France",3,doc3_chunk002
Vingroup,INVESTED_IN,VinUni,"On November 11, 2019, VinUni announced its first admissions cycle (2020-2021)",3,doc3_chunk003
Vingroup,INVESTED_IN,3 additional subsidiaries,"In November 2025, Vingroup announced that they have invested in establishing 3 additional subsidiaries",3,doc3_chunk003
VinFuture Prize,OWNED_BY,Vingroup,"VinFuture Prize: Annual international award, honoring health, technology, science, and sustainability achievements.",3,doc3_chunk003
VinID,OWNED_BY,Vingroup,"VinID: Providing Fintech, Loyalty and Digital Marketing services with roughly 7 million users in 2019.",3,doc3_chunk003
VinAI,OWNED_BY,Vingroup,VinAI: Artificial intelligence research.,3,doc3_chunk003
VinCSS,OWNED_BY,Vingroup,VinCSS: Cyber security services.,3,doc3_chunk003
Thien Tam Fund,OWNED_BY,Vingroup,Thien Tam Fund: Philanthropic organization on behalf of Vingroup.,3,doc3_chunk003
VinSmart,SUBSIDIARY_OF,Vingroup,Sold or dissolved subsidiaries VinSmart: Smartphones and televisions.,3,doc3_chunk003
VinCommerce,SUBSIDIARY_OF,Vingroup,VinCommerce: Convenience stores (VinMart+) and supermarkets (VinMart).,3,doc3_chunk003
Masan Group,ACQUIRED,VinCommerce,The controlling stake was sold to Masan Group in 2019.,3,doc3_chunk003
SK Group,ACQUIRED,Vingroup,South Korean conglomerate SK Group has agreed to acquire a 16.3% stake.,3,doc3_chunk003
Vingroup,DEVELOPED,smartphones,Vingroup targets 30% Vietnam smartphone market with first mobile,3,doc3_chunk004
Vingroup,PARTNERED_WITH,Formula 1,Vietnam to host Formula 1 Grand Prix from 2020,3,doc3_chunk004
Vingroup,OWNED_BY,Vietnam's Richest Man,Vietnam's Richest Man Has a Plan to Save the Virus-Stricken World,3,doc3_chunk004
VinFast,SUBSIDIARY_OF,Vingroup,EV maker VinFast's losses heap pressure on parent Vingroup,3,doc3_chunk004
Vingroup,LOCATED_IN,Vietnam,Vingroup targets global markets with smartphones in tech shift,3,doc3_chunk004
Vingroup,ACQUIRED,e-wallet platform,Vietnam's Vingroup acquires e-wallet platform MonPay,3,doc3_chunk004
Vingroup,DEVELOPED,gasoline cars,Vingroup loses $1bn in manufacturing on poor sales of gasoline cars,3,doc3_chunk004
Vingroup,PARTNERED_WITH,foreign investors,foreign investors sell,3,doc3_chunk004
Vingroup,FOUNDED_BY,Pham Nhat Vuong,Vingroup is founded by Pham Nhat Vuong.,3,doc3_chunk005
Vinpearl,SUBSIDIARY_OF,Vingroup,Vinpearl is a subsidiary of Vingroup.,3,doc3_chunk005
VinUniversity,SUBSIDIARY_OF,Vingroup,VinUniversity is a subsidiary of Vingroup.,3,doc3_chunk005
